ts,epoch,cam_id,name,cls,box_w,box_h,area_px,aspect,frames,heading,px_per_frame,moving
2026-09-07 00:00:00,1788739183.5,fde1748c-7c0f-4df8-8acd-120df29a9305,Atlantic Ave @ Eastern Pkwy,truck,47,55,2585,0.855,2,288.4,1.58,false
2026-09-07 00:00:00,1788739185.5,fde1748c-7c0f-4df8-8acd-120df29a9305,Atlantic Ave @ Eastern Pkwy,car,58,47,2726,1.234,1,0.0,0.0,false
2026-09-07 00:00:00,1788739163.5,6851bbf7-e079-4379-b021-e5c7dafcb8c9,8 Ave @ 9 St,car,89,67,5963,1.328,1,0.0,0.0,false
2026-09-07 00:00:00,1788739165.5,6851bbf7-e079-4379-b021-e5c7dafcb8c9,8 Ave @ 9 St,truck,80,75,6000,1.067,1,0.0,0.0,false
2026-09-07 00:00:00,1788739175.5,6851bbf7-e079-4379-b021-e5c7dafcb8c9,8 Ave @ 9 St,car,65,51,3315,1.275,1,0.0,0.0,false
2026-09-07 00:00:00,1788739163.5,6851bbf7-e079-4379-b021-e5c7dafcb8c9,8 Ave @ 9 St,car,80,68,5440,1.176,10,170.9,1.41,false
2026-09-07 00:00:00,1788739165.5,6851bbf7-e079-4379-b021-e5c7dafcb8c9,8 Ave @ 9 St,car,47,48,2256,0.979,7,84.6,1.76,false
2026-09-07 00:00:00,1788739173.5,6851bbf7-e079-4379-b021-e5c7dafcb8c9,8 Ave @ 9 St,car,100,92,9200,1.087,5,147.7,10.06,true
2026-09-07 00:00:00,1788739175.5,6851bbf7-e079-4379-b021-e5c7dafcb8c9,8 Ave @ 9 St,car,157,205,32185,0.766,2,74.2,40.52,false
2026-09-07 00:00:00,1788739177.5,6851bbf7-e079-4379-b021-e5c7dafcb8c9,8 Ave @ 9 St,car,48,38,1824,1.263,1,0.0,0.0,false
2026-09-07 00:00:00,1788739177.5,6851bbf7-e079-4379-b021-e5c7dafcb8c9,8 Ave @ 9 St,car,362,134,48508,2.701,1,0.0,0.0,false
2026-09-07 00:00:00,1788739163.5,74707723-013b-4bf1-9a8b-c209dbf71984,Bushwick Ave @ Gates Ave,car,101,100,10100,1.01,1,0.0,0.0,false
2026-09-07 00:00:00,1788739165.5,74707723-013b-4bf1-9a8b-c209dbf71984,Bushwick Ave @ Gates Ave,car,22,19,418,1.158,1,0.0,0.0,false
2026-09-07 00:00:00,1788739173.5,74707723-013b-4bf1-9a8b-c209dbf71984,Bushwick Ave @ Gates Ave,car,37,35,1295,1.057,1,0.0,0.0,false
2026-09-07 00:00:00,1788739175.5,74707723-013b-4bf1-9a8b-c209dbf71984,Bushwick Ave @ Gates Ave,car,21,20,420,1.05,1,0.0,0.0,false
2026-09-07 00:00:00,1788739163.5,74707723-013b-4bf1-9a8b-c209dbf71984,Bushwick Ave @ Gates Ave,car,64,113,7232,0.566,11,91.1,2.65,false
2026-09-07 00:00:00,1788739167.5,74707723-013b-4bf1-9a8b-c209dbf71984,Bushwick Ave @ Gates Ave,car,47,36,1692,1.306,6,200.0,1.17,false
2026-09-07 00:00:00,1788739181.5,74707723-013b-4bf1-9a8b-c209dbf71984,Bushwick Ave @ Gates Ave,car,54,50,2700,1.08,2,119.4,9.18,false
2026-09-07 00:00:00,1788739183.5,74707723-013b-4bf1-9a8b-c209dbf71984,Bushwick Ave @ Gates Ave,car,80,108,8640,0.741,2,73.7,37.5,false
2026-09-07 00:00:00,1788739185.5,74707723-013b-4bf1-9a8b-c209dbf71984,Bushwick Ave @ Gates Ave,car,54,50,2700,1.08,1,0.0,0.0,false
2026-09-07 00:00:00,1788739163.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,car,91,65,5915,1.4,2,132.1,20.89,false
2026-09-07 00:00:00,1788739163.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,car,79,85,6715,0.929,3,125.8,7.7,false
2026-09-07 00:00:00,1788739167.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,car,80,59,4720,1.356,2,135.0,12.73,false
2026-09-07 00:00:00,1788739173.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,car,98,112,10976,0.875,1,0.0,0.0,false
2026-09-07 00:00:00,1788739173.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,car,57,57,3249,1.0,1,0.0,0.0,false
2026-09-07 00:00:00,1788739173.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,car,44,18,792,2.444,1,0.0,0.0,false
2026-09-07 00:00:00,1788739163.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,car,163,221,36023,0.738,6,138.0,12.11,false
2026-09-07 00:00:00,1788739173.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,car,108,137,14796,0.788,2,269.1,64.51,true
2026-09-07 00:00:00,1788739177.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,truck,26,37,962,0.703,1,0.0,0.0,false
2026-09-07 00:00:00,1788739175.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,truck,162,221,35802,0.733,2,310.6,69.85,false
2026-09-07 00:00:00,1788739163.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,car,125,128,16000,0.977,12,153.4,0.3,false
2026-09-07 00:00:00,1788739163.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,car,89,78,6942,1.141,10,193.4,1.2,false
2026-09-07 00:00:00,1788739177.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,car,79,59,4661,1.339,3,300.9,22.42,true
2026-09-07 00:00:00,1788739183.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,car,63,72,4536,0.875,1,0.0,0.0,false
2026-09-07 00:00:00,1788739183.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,car,63,66,4158,0.955,1,0.0,0.0,false
2026-09-07 00:00:00,1788739183.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,car,46,56,2576,0.821,2,117.5,14.09,false
2026-09-07 00:00:00,1788739185.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,car,112,109,12208,1.028,1,0.0,0.0,false
2026-09-07 00:00:00,1788739185.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,car,47,56,2632,0.839,1,0.0,0.0,false
2026-09-07 00:00:00,1788739185.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,car,104,120,12480,0.867,1,0.0,0.0,false
2026-09-07 00:00:00,1788739185.5,a8805cdb-e305-42d0-b011-cb825380cf8e,Bushwick Ave @ Cooper St,car,66,53,3498,1.245,1,0.0,0.0,false
2026-09-07 00:00:00,1788739167.5,068461e2-c62f-4ce4-adac-5f9efe92af1d,Bushwick Ave @ De Kalb Ave,car,71,40,2840,1.775,2,18.4,4.74,false
2026-09-07 00:00:00,1788739169.5,068461e2-c62f-4ce4-adac-5f9efe92af1d,Bushwick Ave @ De Kalb Ave,car,25,55,1375,0.455,1,0.0,0.0,false
2026-09-07 00:00:00,1788739171.5,068461e2-c62f-4ce4-adac-5f9efe92af1d,Bushwick Ave @ De Kalb Ave,car,104,72,7488,1.444,1,0.0,0.0,false
2026-09-07 00:00:00,1788739173.5,068461e2-c62f-4ce4-adac-5f9efe92af1d,Bushwick Ave @ De Kalb Ave,car,52,37,1924,1.405,1,0.0,0.0,false
2026-09-07 00:00:00,1788739163.5,068461e2-c62f-4ce4-adac-5f9efe92af1d,Bushwick Ave @ De Kalb Ave,car,44,58,2552,0.759,7,58.0,0.79,false
2026-09-07 00:00:00,1788739173.5,068461e2-c62f-4ce4-adac-5f9efe92af1d,Bushwick Ave @ De Kalb Ave,moto,71,55,3905,1.291,2,206.6,1.12,false
2026-09-07 00:00:00,1788739175.5,068461e2-c62f-4ce4-adac-5f9efe92af1d,Bushwick Ave @ De Kalb Ave,car,21,11,231,1.909,1,0.0,0.0,false
2026-09-07 00:00:00,1788739175.5,068461e2-c62f-4ce4-adac-5f9efe92af1d,Bushwick Ave @ De Kalb Ave,car,50,53,2650,0.943,1,0.0,0.0,false
2026-09-07 00:00:00,1788739179.5,068461e2-c62f-4ce4-adac-5f9efe92af1d,Bushwick Ave @ De Kalb Ave,car,25,56,1400,0.446,1,0.0,0.0,false
2026-09-07 00:00:00,1788739179.5,068461e2-c62f-4ce4-adac-5f9efe92af1d,Bushwick Ave @ De Kalb Ave,car,84,72,6048,1.167,3,254.6,7.52,false
2026-09-07 00:00:00,1788739181.5,068461e2-c62f-4ce4-adac-5f9efe92af1d,Bushwick Ave @ De Kalb Ave,car,96,63,6048,1.524,1,0.0,0.0,false
2026-09-07 00:00:00,1788739183.5,068461e2-c62f-4ce4-adac-5f9efe92af1d,Bushwick Ave @ De Kalb Ave,car,62,42,2604,1.476,1,0.0,0.0,false
2026-09-07 00:00:00,1788739183.5,068461e2-c62f-4ce4-adac-5f9efe92af1d,Bushwick Ave @ De Kalb Ave,car,28,22,616,1.273,1,0.0,0.0,false
2026-09-07 00:00:00,1788739185.5,068461e2-c62f-4ce4-adac-5f9efe92af1d,Bushwick Ave @ De Kalb Ave,car,43,49,2107,0.878,1,0.0,0.0,false
2026-09-07 00:00:00,1788739185.5,068461e2-c62f-4ce4-adac-5f9efe92af1d,Bushwick Ave @ De Kalb Ave,moto,33,53,1749,0.623,1,0.0,0.0,false
2026-09-07 00:00:00,1788739163.5,089d8066-4e5e-4549-9496-a5f4ffb56ef5,7 Ave @ 9 St,car,24,20,480,1.2,1,0.0,0.0,false
2026-09-07 00:00:00,1788739165.5,089d8066-4e5e-4549-9496-a5f4ffb56ef5,7 Ave @ 9 St,car,38,34,1292,1.118,1,0.0,0.0,false
2026-09-07 00:00:00,1788739169.5,089d8066-4e5e-4549-9496-a5f4ffb56ef5,7 Ave @ 9 St,car,124,103,12772,1.204,1,0.0,0.0,false
2026-09-07 00:00:00,1788739173.5,089d8066-4e5e-4549-9496-a5f4ffb56ef5,7 Ave @ 9 St,car,140,50,7000,2.8,1,0.0,0.0,false
2026-09-07 00:00:00,1788739163.5,089d8066-4e5e-4549-9496-a5f4ffb56ef5,7 Ave @ 9 St,car,45,28,1260,1.607,7,135.0,0.35,false
2026-09-07 00:00:00,1788739163.5,089d8066-4e5e-4549-9496-a5f4ffb56ef5,7 Ave @ 9 St,car,43,35,1505,1.229,9,116.6,0.14,false
2026-09-07 00:00:00,1788739171.5,089d8066-4e5e-4549-9496-a5f4ffb56ef5,7 Ave @ 9 St,car,23,20,460,1.15,4,108.4,0.53,false
2026-09-07 00:00:00,1788739175.5,089d8066-4e5e-4549-9496-a5f4ffb56ef5,7 Ave @ 9 St,car,45,28,1260,1.607,3,32.7,4.16,false
2026-09-07 00:00:00,1788739177.5,089d8066-4e5e-4549-9496-a5f4ffb56ef5,7 Ave @ 9 St,car,59,30,1770,1.967,1,0.0,0.0,false
2026-09-07 00:00:00,1788739179.5,089d8066-4e5e-4549-9496-a5f4ffb56ef5,7 Ave @ 9 St,car,44,25,1100,1.76,1,0.0,0.0,false
2026-09-07 00:00:00,1788739163.5,a8f2d065-c266-4378-ac63-50b81677da84,C2-PE-02-Ctr_at_Ft_Hamltn_Pkwy-Ex5,car,277,61,16897,4.541,1,0.0,0.0,false
2026-09-07 00:00:00,1788739163.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,68,56,3808,1.214,1,0.0,0.0,false
2026-09-07 00:00:00,1788739163.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,50,47,2350,1.064,1,0.0,0.0,false
2026-09-07 00:00:00,1788739165.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,truck,92,50,4600,1.84,1,0.0,0.0,false
2026-09-07 00:00:00,1788739165.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,99,55,5445,1.8,1,0.0,0.0,false
2026-09-07 00:00:00,1788739165.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,40,39,1560,1.026,1,0.0,0.0,false
2026-09-07 00:00:00,1788739165.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,31,19,589,1.632,2,168.7,10.2,false
2026-09-07 00:00:00,1788739167.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,70,64,4480,1.094,1,0.0,0.0,false
2026-09-07 00:00:00,1788739169.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,62,45,2790,1.378,1,0.0,0.0,false
2026-09-07 00:00:00,1788739167.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,54,31,1674,1.742,2,174.9,22.59,true
2026-09-07 00:00:00,1788739171.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,34,14,476,2.429,1,0.0,0.0,false
2026-09-07 00:00:00,1788739165.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,118,111,13098,1.063,3,32.3,5.62,false
2026-09-07 00:00:00,1788739171.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,50,53,2650,0.943,2,270.0,4.0,false
2026-09-07 00:00:00,1788739173.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,103,70,7210,1.471,1,0.0,0.0,false
2026-09-07 00:00:00,1788739167.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,39,39,1521,1.0,3,86.6,4.26,false
2026-09-07 00:00:00,1788739169.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,42,27,1134,1.556,4,316.2,5.54,false
2026-09-07 00:00:00,1788739171.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,51,33,1683,1.545,4,222.7,5.9,false
2026-09-07 00:00:00,1788739177.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,101,119,12019,0.849,1,0.0,0.0,false
2026-09-07 00:00:00,1788739179.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,26,20,520,1.3,1,0.0,0.0,false
2026-09-07 00:00:00,1788739179.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,moto,59,40,2360,1.475,1,0.0,0.0,false
2026-09-07 00:00:00,1788739163.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,48,49,2352,0.98,10,119.7,0.45,false
2026-09-07 00:00:00,1788739163.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,36,21,756,1.714,7,236.3,0.3,false
2026-09-07 00:00:00,1788739163.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,145,115,16675,1.261,11,183.0,0.95,false
2026-09-07 00:00:00,1788739181.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,30,12,360,2.5,1,0.0,0.0,false
2026-09-07 00:00:00,1788739183.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,50,45,2250,1.111,1,0.0,0.0,false
2026-09-07 00:00:00,1788739183.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,63,66,4158,0.955,2,26.6,1.12,false
2026-09-07 00:00:00,1788739185.5,053afe02-e1b3-4bea-9995-787e72c7fff4,Atlantic Ave @ Barclays Center,car,28,27,756,1.037,1,0.0,0.0,false
2026-09-07 00:00:00,1788739163.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,27,17,459,1.588,1,0.0,0.0,false
2026-09-07 00:00:00,1788739163.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,35,22,770,1.591,3,296.6,0.56,false
2026-09-07 00:00:00,1788739163.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,74,68,5032,1.088,2,297.4,15.21,false
2026-09-07 00:00:00,1788739163.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,43,28,1204,1.536,2,161.6,4.74,false
2026-09-07 00:00:00,1788739163.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,43,72,3096,0.597,3,63.4,0.56,false
2026-09-07 00:00:00,1788739167.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,21,18,378,1.167,1,0.0,0.0,false
